logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Travessa Alpina,,Nossa Senhora da Apresentação,Natal,RN,59115-601,-35.28711999999996,-5.727389999999957
Rua Alpinópolis,,Pitimbu,Natal,RN,59069-210,-35.24309491517167,-5.8439599773119895
Rua Altamira,,Praia do Meio,Natal,RN,59010-120,-35.19844748098317,-5.779515287943859
Travessa Altamira,,Praia do Meio,Natal,RN,59010-125,-35.19743264870639,-5.779011602425047
Rua Altamiro Bastos,,Redinha,Natal,RN,59122-272,-35.233813505172556,-5.755780145508291
Rua Altamiro Lopes,,Pajuçara,Natal,RN,59123-023,-35.237714948708984,-5.748914957860912
Rua Altaneira,2717,Potengi,Natal,RN,59112-600,-35.2589321726873,-5.757493029461416
Rua Altaneira,2719,Potengi,Natal,RN,59110-600,-35.25893153183102,-5.7574922143586
Rua Altemar Dutra,,Ponta Negra,Natal,RN,59090-177,-35.17515299131236,-5.878392419131113
Rua Alterosa,,Ponta Negra,Natal,RN,59091-070,-35.201164908825625,-5.874469804493275
Rua Alterosa,,Neópolis,Natal,RN,59084-460,-35.19800308586575,-5.870628363967989
Rua Altinópolis,,Pajuçara,Natal,RN,59131-260,-35.244794932773715,-5.726254964585536
Avenida Alto Monte Belo,,Neópolis,Natal,RN,59086-375,-35.2160911510597,-5.868698971829016
Rua Alto Paraná,,Potengi,Natal,RN,59124-270,-35.25025640973719,-5.743603514448578
Rua Alto Pequiri,,Potengi,Natal,RN,59124-450,-35.242114903052396,-5.749929964425945
Rua Alto da Bacia,,Mãe Luiza,Natal,RN,59014-360,-35.188200084813296,-5.794198103581222
Rua Alto da Bela Vista,,Nordeste,Natal,RN,59042-250,-35.242508427311414,-5.797543432100039
Travessa Alto da Bela Vista,,Nordeste,Natal,RN,59042-251,-35.24122877644044,-5.795270524453103
Rua Alto da Boa Vista,,Ponta Negra,Natal,RN,59090-310,-35.168613330591,-5.886048123682265
Rua Alto da Boa Vista,,Pajuçara,Natal,RN,59123-305,-35.24714921254944,-5.739808468042937
Rua Alto da Boa Vista,,Pajuçara,Natal,RN,59123-515,-35.24714921254944,-5.739808468042937
Travessa Alto da Boa Vista,,Ponta Negra,Natal,RN,59090-309,-35.168613330591,-5.886048123682265
Rua Alto da Colina,,Mãe Luiza,Natal,RN,59014-440,-35.19013873590682,-5.794867694032645
