logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Alagoinha,,Lagoa Azul,Natal,RN,59129-304,-35.2593222,-5.740322
Rua Alamanda,,Candelária,Natal,RN,59065-480,-35.2206615,-5.8368451
Travessa Alameda,,Nossa Senhora da Apresentação,Natal,RN,59114-165,-35.2812401,-5.7706599
Travessa Alameda dos Coqueirais,,Planalto,Natal,RN,59073-088,-35.249760200000004,-5.8470613
Rua Alan Kardec,,Petrópolis,Natal,RN,59014-140,-35.1944133,-5.786615599999998
Rua Albacora,,Pajuçara,Natal,RN,59133-065,-35.0485996,-6.2313861
Rua Albatroz,,Pitimbu,Natal,RN,59067-450,-35.22665750000001,-5.873559699999999
Rua Albertina Bezerra,,Planalto,Natal,RN,59073-187,-35.245067,-5.8442471
Rua Albertina Bezerra de Araújo,,Cidade Nova,Natal,RN,59072-675,-35.245067,-5.8442471
Rua Alberto Maranhão,,Tirol,Natal,RN,59020-330,-35.2037476,-5.7979385
Travessa Alberto Maranhão,,Tirol,Natal,RN,59020-335,-35.2052653,-5.797050899999999
Rua Alberto Silva,,Tirol,Natal,RN,59022-185,-35.205681799999994,-5.809748099999998
Rua Alberto Silva,,Lagoa Seca,Natal,RN,59022-300,-35.208481,-5.8086343000000005
Rua Albino Fernandes Borges,,Lagoa Nova,Natal,RN,59054-710,-35.21375379999999,-5.817245400000001
Rua Alcindo Dias de Oliveira,,Capim Macio,Natal,RN,59082-300,-35.1884204,-5.8665459
Rua Alcione Dowsley,,Pajuçara,Natal,RN,59122-343,-35.2273186,-5.741270099999999
Rua Alcântara,,Potengi,Natal,RN,59108-530,-35.2583597,-5.762337400000001
Vila Alcântara,,Alecrim,Natal,RN,59037-680,-35.217594399999996,-5.797869400000001
Rua Alda Ramalho Pereira,,Tirol,Natal,RN,59014-600,-35.19812900000001,-5.7951169999999985
Travessa Alda Ramalho Pereira,,Tirol,Natal,RN,59014-602,-35.19812900000001,-5.7951169999999985
Travessa Aldeia Nova,,Igapó,Natal,RN,59104-245,-35.26291079999999,-5.768982599999999
Rua Aldo de Melo Freire,,Capim Macio,Natal,RN,59082-030,-35.20288439999999,-5.855911900000001
Vila Alegria,,Felipe Camarão,Natal,RN,59072-442,-35.2631655,-5.822439900000001
Rua Alexandre Baraúna,,Candelária,Natal,RN,59065-280,-35.21669079999999,-5.8351728
Rua Alexandre Chaves Neto,,Lagoa Nova,Natal,RN,59054-410,-35.2211731,-5.8127311
Rua Alexandre Câmara,,Capim Macio,Natal,RN,59082-200,-35.19177620000001,-5.8663281
Rua Alexandre Pinto,,Nossa Senhora da Apresentação,Natal,RN,59114-236,-35.274389899999996,-5.743298900000001
Rua Alexandria,,Lagoa Nova,Natal,RN,59054-780,-35.2146205,-5.8159345999999985
Rua Alexandrina da Conceição,,Lagoa Azul,Natal,RN,59139-534,-35.270366100000004,-5.7227785
Travessa Alfaville,,Nossa Senhora da Apresentação,Natal,RN,59114-272,-35.2752715,-5.7430314000000005
Rua Alfredo Dias de Figueiredo,,Ponta Negra,Natal,RN,59092-570,-35.183417600000006,-5.891013
Rua Alfredo Edeltrudes,,Nordeste,Natal,RN,59042-110,-35.239058899999996,-5.799203500000001
