logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Coronel Luciano Saldanha,,Capim Macio,Natal,RN,59078-390,-35.2007131,-5.8469472
Rua Coronel Luiz Júlio,,Lagoa Nova,Natal,RN,59056-240,-35.2055825,-5.8180638
Rua Coronel Miguel Arcanjo Galvão,,Lagoa Nova,Natal,RN,59064-560,-35.221223,-5.8290987
Rua Coronel Milton Freire,,Capim Macio,Natal,RN,59078-310,-35.2058397,-5.8486461
Rua Coronel Mário Cabral,,Nova Descoberta,Natal,RN,59075-370,-35.1969847,-5.8254838
Rua Coronel Pedro Soares,,Tirol,Natal,RN,59015-070,-35.1973978,-5.7998576
Rua Coronel Pessoa,,Nossa Senhora da Apresentação,Natal,RN,59114-612,-35.2696404,-5.7415964
Rua Coronel Revoredo Filho,,Neópolis,Natal,RN,59088-755,-35.201939,-5.879641
Rua Coronel Santos,,Lagoa Nova,Natal,RN,59075-190,-35.2065358,-5.8250506
Rua Coronel Silvino Bezerra,,Lagoa Seca,Natal,RN,59031-140,-35.2121696,-5.8062783
Rua Correia Teles,,Cidade Alta,Natal,RN,59025-010,-35.2052167,-5.7825044
Rua Cortez Pereira,,Cidade Nova,Natal,RN,59072-600,-35.2419005,-5.8358295
Praça Corumbá,,Potengi,Natal,RN,59124-790,-35.242604577085615,-5.75030325
Rua Corupá,,Potengi,Natal,RN,59110-560,-35.2577796,-5.7502363
Rua Coruripe,,Pajuçara,Natal,RN,59131-500,-35.2456386,-5.7233459
Vila Costa,,Igapó,Natal,RN,59104-256,-35.2642246,-5.7706575
Vila Costa,,Nordeste,Natal,RN,59042-122,-35.2642246,-5.7706575
1ª Travessa Couto Magalhães,,Nossa Senhora da Apresentação,Natal,RN,59114-138,-35.2811511,-5.7466323
2ª Travessa Couto Magalhães,,Nossa Senhora da Apresentação,Natal,RN,59114-139,-35.2811511,-5.7466323
Rua Couto Magalhães,,Nossa Senhora da Apresentação,Natal,RN,59114-211,-35.2757894,-5.741886
Rua Crato,,Cidade da Esperança,Natal,RN,59071-010,-35.2396052,-5.829251
Rua Cratéus,,Potengi,Natal,RN,59108-380,-35.2570128,-5.7632799
Rua Cravolândia,,Lagoa Azul,Natal,RN,59136-270,-35.2477241,-5.7228668
Rua Crepúsculo,,Redinha,Natal,RN,59122-027,-35.2347168,-5.7547662
Rua Creso Bezerra,,Quintas,Natal,RN,59035-140,-35.2311198,-5.8008503
Travessa Creso Bezerra,,Quintas,Natal,RN,59035-145,-35.2307171,-5.8004144
Rua Criciúma,,Potengi,Natal,RN,59112-320,-35.2605026,-5.7539753
Rua Cristais de Gelo,,Redinha,Natal,RN,59122-660,-35.2245976,-5.7557806
Travessa Cristais de Gelo,,Redinha,Natal,RN,59122-662,-35.2287858,-5.7489547
Rua Cristal de Rocha,,Lagoa Nova,Natal,RN,59076-150,-35.2082256,-5.8281767
Rua Cristalina,,Felipe Camarão,Natal,RN,59072-290,-35.2489921,-5.8182725
Travessa Cristalina,,Nossa Senhora da Apresentação,Natal,RN,59115-596,-35.2804577,-5.7506501
Rua Cristina Melo,,Lagoa Azul,Natal,RN,59138-615,-35.2600501,-5.7277628
Rua Cristo Redentor,,Redinha,Natal,RN,59122-481,-35.2331567,-5.7526102
Rua Cristo Rei,,Nossa Senhora da Apresentação,Natal,RN,59115-110,-35.2816708,-5.7577515
Rua Crisópolis,,Lagoa Azul,Natal,RN,59136-280,-35.2481036,-5.7205916
Rua Cronista Ernani Lopes,,Pajuçara,Natal,RN,59132-100,-35.2368383,-5.7286315
Rua Cronista José Augusto dos Santos,,Pajuçara,Natal,RN,59132-050,-35.2360806,-5.7274372
Rua Cronista Marcínio Dias Oliveira,,Pajuçara,Natal,RN,59132-070,-35.2362657,-5.7277321
