logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua das Rocas,,Guarapes,Natal,RN,59074-680,-35.2755186,-5.8393607
Avenida das Seringueiras,,Nossa Senhora da Apresentação,Natal,RN,59114-500,-35.272087899999995,-5.7586615
Rua das Sucupiras,,Lagoa Azul,Natal,RN,59138-020,-35.2689658,-5.736389599999999
Rua das Tilias,,Pitimbu,Natal,RN,59067-690,-35.224697,-5.8707443
Avenida das Tulipas,,Capim Macio,Natal,RN,59078-220,-35.2050698,-5.8444455
Rua das Tulipas Negras,,Nossa Senhora da Apresentação,Natal,RN,59114-260,-35.2729256,-5.759957099999999
Rua das Umburanas,,Lagoa Azul,Natal,RN,59139-210,-35.262161,-5.7263029
Rua das Verbenas,,Capim Macio,Natal,RN,59078-090,-35.206238299999995,-5.8403545
Rua das Videiras,,Redinha,Natal,RN,59122-477,-35.22697720000001,-5.7499229000000005
Rua das Violetas,,Capim Macio,Natal,RN,59078-160,-35.205730100000004,-5.843213700000001
Rua das Vitórias,,Potengi,Natal,RN,59120-596,-35.23555579999999,-5.7582154999999995
Rua das Águias,,Pitimbu,Natal,RN,59067-430,-35.2273346,-5.8719099
Rua das Árvores,,Cidade Alta,Natal,RN,59025-740,-35.2124262,-5.7871902
Vila de Fátima,,Lagoa Seca,Natal,RN,59022-410,-35.2102,-5.8070732000000005
Travessa de Mãe Luiza,,Guarapes,Natal,RN,59074-811,-35.2731758,-5.841496
Rua de Neópolis,,Guarapes,Natal,RN,59074-800,-35.2732346,-5.8424093
Rua de Santos Reis,,Guarapes,Natal,RN,59074-690,-35.2769947,-5.8404419
Rua do Aboio,,Lagoa Azul,Natal,RN,59138-490,-35.2597357,-5.7308986
Rua do Acalanto,,Lagoa Azul,Natal,RN,59138-240,-35.2634217,-5.7356864000000005
Rua do Algodoal,,Lagoa Azul,Natal,RN,59138-130,-35.26475070000001,-5.7321183
Rua do Alvorecer,,Redinha,Natal,RN,59122-405,-35.2256277,-5.7492252
Rua do Amianto,,Lagoa Nova,Natal,RN,59076-630,-35.2106167,-5.831300700000001
Rua do Amor Divino,,Potengi,Natal,RN,59110-690,-35.247121899999996,-5.7607991
Rua do Amor Perfeito,,Redinha,Natal,RN,59122-250,-35.2247415,-5.7475062999999995
