cep,logradouro,complemento,bairro,cidade,estado,longitude,latitude
59068-790,Rua Tambuí,,Pitimbu,Natal,RN,,
59074-868,Rua Tamirim,,Guarapes,Natal,RN,,
59073-290,Rua Tamirim,,Planalto,Natal,RN,,
59073-294,Travessa Tamirim,,Planalto,Natal,RN,,
59131-640,Rua Tamoios,,Pajuçara,Natal,RN,,
59125-210,Rua Tanabi,,Potengi,Natal,RN,,
59123-221,1ª Travessa Tancredo Neves,,Pajuçara,Natal,RN,,
59125-500,Rua Tancredo Neves,,Pajuçara,Natal,RN,,
59123-230,Rua Tancredo Neves,,Pajuçara,Natal,RN,,
59073-351,Rua Tancredo Neves,,Planalto,Natal,RN,,
59123-220,Travessa Tancredo Neves,,Pajuçara,Natal,RN,,
59139-402,Rua Tangará,,Lagoa Azul,Natal,RN,,
59114-450,Rua Tangará da Serra,,Nossa Senhora da Apresentação,Natal,RN,,
59068-780,Praça Taperoá,,Pitimbu,Natal,RN,,
59068-800,Rua Tapevi,,Pitimbu,Natal,RN,,
59129-240,Rua Tapirai,,Potengi,Natal,RN,,
59114-290,Rua Tapirama,,Nossa Senhora da Apresentação,Natal,RN,,
59115-635,Travessa Taquarana,,Nossa Senhora da Apresentação,Natal,RN,,
59124-670,Rua Taquaritinga,,Potengi,Natal,RN,,
59124-060,Rua Taquarituba,,Potengi,Natal,RN,,
59124-550,Rua Tarauca,,Potengi,Natal,RN,,
59056-510,Rua Tarcísio Galvão,,Nova Descoberta,Natal,RN,,
59114-226,Travessa Tarcísio Ribeiro,,Nossa Senhora da Apresentação,Natal,RN,,
59122-223,Travessa Tarcísio,,Redinha,Natal,RN,,
59073-810,Rua Tarumã,,Planalto,Natal,RN,,
59114-060,Rua Tasso de Macedo,,Nossa Senhora da Apresentação,Natal,RN,,
59139-100,Rua Tataíra,,Lagoa Azul,Natal,RN,,
59139-395,Rua Tatiana Maia,,Lagoa Azul,Natal,RN,,
59073-804,Rua Tatuquara,,Planalto,Natal,RN,,
59124-210,Rua Tatuí,,Potengi,Natal,RN,,
59129-290,Rua Taubaté,,Potengi,Natal,RN,,
59108-460,Rua Tauá,,Potengi,Natal,RN,,
59035-256,Vila Tavares,,Quintas,Natal,RN,,
59012-050,Avenida Tavares de Lira,,Ribeira,Natal,RN,,
59080-062,Rua Teatrólogo Amaro de Andrade,,Capim Macio,Natal,RN,,
59073-275,Rua Teatrólogo Jesiel Figueiredo,,Planalto,Natal,RN,,
59080-090,Rua Teatrólogo Meira Pires,,Capim Macio,Natal,RN,,
59080-072,Travessa Teatrólogo Meira Pires,,Capim Macio,Natal,RN,,
59065-360,Rua Teca Sales,,Candelária,Natal,RN,,
59104-610,Vila Teixeira,,Igapó,Natal,RN,,
59075-362,Vila Teixeira,,Nova Descoberta,Natal,RN,,
59122-445,Rua Teixeira de Castro,,Redinha,Natal,RN,,
59040-120,Rua Tenente Alberto Gomes,,Alecrim,Natal,RN,,
59012-290,Rua Tenente Benedito Pereira,,Petrópolis,Natal,RN,,
59031-030,Rua Tenente Brandão,,Lagoa Seca,Natal,RN,,
59015-250,Rua Tenente Cerqueira,,Tirol,Natal,RN,,
59110-670,Rua Tenente Claudionor Amaro de Oliveira,,Potengi,Natal,RN,,
59107-010,Rua Tenente Claudionor Amaro de Oliveira,,Salinas,Natal,RN,,
59122-106,Rua Tenente Juracir,,Redinha,Natal,RN,,
59042-080,Rua Tenente Juvenal Barbosa do Nascimento,,Nordeste,Natal,RN,,
59015-280,Rua Tenente Júlio Gomes,,Tirol,Natal,RN,,
59054-805,Praça Tenente Nobre,,Lagoa Nova,Natal,RN,,
59092-540,Rua Tenente Olavo Francisco dos Santos,,Ponta Negra,Natal,RN,,
59060-110,Rua Tenente Petronilo Diogo Silva,,Bom Pastor,Natal,RN,,
59037-230,Vila Tenente Roque,,Alecrim,Natal,RN,,
59125-332,2ª Travessa Tenente Souza,,Pajuçara,Natal,RN,,
59125-338,8ª Travessa Tenente Souza,,Pajuçara,Natal,RN,,
59125-330,Rua Tenente Souza,99998,Pajuçara,Natal,RN,,
59134-080,Rua Tenente Souza,1,Lagoa Azul,Natal,RN,,
59037-070,Rua Tenente Sá Barreto,,Alecrim,Natal,RN,,
59015-190,Rua Tenente-Coronel Muniz de Aragão,,Tirol,Natal,RN,,
59074-321,Travessa Tenerife,,Felipe Camarão,Natal,RN,,
59052-490,Vila Teodoro de Paiva,,Quintas,Natal,RN,,
59073-020,Travessa Teodósia,,Planalto,Natal,RN,,
59050-106,Vila Teodósio,,Quintas,Natal,RN,,
59088-380,Rua Teofilândia,,Neópolis,Natal,RN,,
59088-382,Travessa Teofilândia,,Neópolis,Natal,RN,,
59088-360,Rua Teolândia,,Neópolis,Natal,RN,,
59012-110,Rua Teotônio Freire,,Ribeira,Natal,RN,,
59012-141,Rua Teotônio Freire,,Rocas,Natal,RN,,
59090-462,Travessa Teotônio Vilela,,Ponta Negra,Natal,RN,,
59110-190,Rua Teresópolis,,Potengi,Natal,RN,,
59115-524,Rua Tereza Alves Fernandes,,Nossa Senhora da Apresentação,Natal,RN,,
59075-225,Rua Tereza Bezerra Salustino,,Lagoa Nova,Natal,RN,,
59062-530,Rua Tereza Campos,,Lagoa Nova,Natal,RN,,
59070-440,Rua Terezina,,Cidade da Esperança,Natal,RN,,
59138-607,Rua Terezinha Campelo,,Lagoa Azul,Natal,RN,,
59132-810,Rua Terra Branca,,Pajuçara,Natal,RN,,
59106-230,Rua Terra,,Igapó,Natal,RN,,
59131-650,Rua Terra de Areia,,Pajuçara,Natal,RN,,
59014-136,2ª Travessa Teófilo Brandão,,Petrópolis,Natal,RN,,
59014-137,3ª Travessa Teófilo Brandão,,Petrópolis,Natal,RN,,
59014-130,Rua Teófilo Brandão,,Areia Preta,Natal,RN,,
59014-135,Travessa Teófilo Brandão,,Petrópolis,Natal,RN,,
59122-017,Rua Teófilo Liberato,,Redinha,Natal,RN,,
59088-630,Rua Teófilo Otoni,,Neópolis,Natal,RN,,
59133-450,Rua Thaynara Barreto,,Lagoa Azul,Natal,RN,,
59075-420,Rua Themístocles Duarte,,Nova Descoberta,Natal,RN,,
59075-901,Rua Themístocles Duarte 3003,,Nova Descoberta,Natal,RN,,
59138-603,Rua Theodorico Bezerra,,Lagoa Azul,Natal,RN,,
59056-410,Rua Theodorico Guilherme,,Nova Descoberta,Natal,RN,,
59073-179,Rua Thiago Queiroz,,Planalto,Natal,RN,,
59139-483,Rua Tia Joana,,Lagoa Azul,Natal,RN,,
59065-380,Rua Tiago Avico,,Candelária,Natal,RN,,
59069-370,Rua Tianguá,,Pitimbu,Natal,RN,,
59131-660,Rua Tibaji,,Pajuçara,Natal,RN,,
59074-050,Rua Tibiriçá,,Felipe Camarão,Natal,RN,,
59074-051,Travessa Tibiriçá,,Felipe Camarão,Natal,RN,,
59035-248,Vila Tibúrcio,,Quintas,Natal,RN,,
59129-330,Rua Tietê,,Potengi,Natal,RN,,
59139-350,Rua Tijuana,,Lagoa Azul,Natal,RN,,
59110-400,Rua Tijucas,,Potengi,Natal,RN,,
59090-750,Rua Tilápia,,Ponta Negra,Natal,RN,,
59070-380,Rua Timbaúba,,Cidade da Esperança,Natal,RN,,
59133-113,Rua Timbó,,Pajuçara,Natal,RN,,
59131-670,Rua Timon,,Pajuçara,Natal,RN,,
59115-310,Rua Timoneiros,,Nossa Senhora da Apresentação,Natal,RN,,
59139-515,Rua Tino Luciano de Brito,,Lagoa Azul,Natal,RN,,
59060-370,Rua Tiradentes,,Nossa Senhora de Nazaré,Natal,RN,,
59074-757,Rua Tiradentes,,Guarapes,Natal,RN,,
59060-375,Travessa Tiradentes,,Nossa Senhora de Nazaré,Natal,RN,,
59106-013,Travessa Tiradentes,,Igapó,Natal,RN,,
59106-012,Vila Tiradentes,,Igapó,Natal,RN,,
59090-176,Rua Tivoli,,Ponta Negra,Natal,RN,,
59104-410,Rua Tobias Barreto,,Igapó,Natal,RN,,
59040-060,Rua Tocantins,,Alecrim,Natal,RN,,
59131-000,Avenida Tocantínea,,Pajuçara,Natal,RN,,
59131-001,Travessa Tocantínea,,Pajuçara,Natal,RN,,
59072-430,Rua Todos os Santos,,Felipe Camarão,Natal,RN,,
59072-431,Travessa Todos os Santos,,Felipe Camarão,Natal,RN,,
59040-116,Travessa Toinho do Padeiro,,Alecrim,Natal,RN,,
59122-502,Rua Tom Jobim,,Pajuçara,Natal,RN,,
59123-010,Rua Tom Jobim,,Pajuçara,Natal,RN,,
59115-509,Travessa Tom Jobim,,Nossa Senhora da Apresentação,Natal,RN,,
59056-210,Rua Tomaz Pereira,,Lagoa Nova,Natal,RN,,
59042-020,Rua Tomaz Xavier,7,Quintas,Natal,RN,,
59035-340,Rua Tomaz Xavier,9,Quintas,Natal,RN,,
59025-080,Praça Tomaz de Araújo,,Cidade Alta,Natal,RN,,
59042-160,Rua Tomé de Souza,,Nordeste,Natal,RN,,
59030-150,Alameda Tonelero,,Alecrim,Natal,RN,,
59062-020,Rua Tonheca Dantas,,Bom Pastor,Natal,RN,,
59131-110,Rua Toritama,,Pajuçara,Natal,RN,,
59115-400,Rua Torre Azul,,Nossa Senhora da Apresentação,Natal,RN,,
59122-041,Rua Torre da Esperança,,Redinha,Natal,RN,,
59122-043,Rua Torre de Marfim,,Redinha,Natal,RN,,
59122-042,Rua Torre do Mar,,Redinha,Natal,RN,,
59032-160,Rua Torres Galvão,,Alecrim,Natal,RN,,
59032-158,Travessa Torres Galvão,,Alecrim,Natal,RN,,
59072-471,Travessa Torres Novas,,Felipe Camarão,Natal,RN,,
59037-803,Travessa Torres,,Alecrim,Natal,RN,,
59074-316,Travessa Torres Vedras,,Felipe Camarão,Natal,RN,,
59037-046,Vila Torres,,Alecrim,Natal,RN,,
59063-030,Rua Touros,,Lagoa Nova,Natal,RN,,
59014-205,Rua Trairi,807,Mãe Luiza,Natal,RN,,
59073-292,Rua Trairi,,Planalto,Natal,RN,,
59020-150,Rua Trairi,759,Petrópolis,Natal,RN,,
59014-150,Rua Trairi,783,Petrópolis,Natal,RN,,
59072-320,Rua Trairi,,Felipe Camarão,Natal,RN,,
59072-325,Travessa Trairi,,Felipe Camarão,Natal,RN,,
59065-290,Rua Trajano Murta,,Candelária,Natal,RN,,
59110-060,Rua Trajano de Morais,,Potengi,Natal,RN,,
59025-747,Rua Trampolim da Vitória,,Cidade Alta,Natal,RN,,
59025-748,Travessa Trampolim da Vitória,,Cidade Alta,Natal,RN,,
59074-414,Travessa Trento,,Felipe Camarão,Natal,RN,,
59115-600,Rua Trevo do Mato,,Nossa Senhora da Apresentação,Natal,RN,,
59110-420,Rua Treze Tilias,,Potengi,Natal,RN,,
59052-120,Rua Treze de Julho,,Dix-Sept Rosado,Natal,RN,,
59052-125,Travessa Treze de Julho,,Dix-Sept Rosado,Natal,RN,,
59054-113,Rua Treze de Maio,,Dix-Sept Rosado,Natal,RN,,
59054-115,Travessa Treze de Maio,,Dix-Sept Rosado,Natal,RN,,
59120-612,Rua Treze de Março,,Potengi,Natal,RN,,
59125-280,Rua Trindade,,Pajuçara,Natal,RN,,
59125-285,Travessa Trindade,,Pajuçara,Natal,RN,,
59090-240,Rua Trinta e Um de Março,,Ponta Negra,Natal,RN,,
59065-350,Rua Trinta e Um de Março,,Candelária,Natal,RN,,
59090-690,Travessa Trinta e Um de Março,,Ponta Negra,Natal,RN,,
59131-740,Rua Tripoli,,Pajuçara,Natal,RN,,
59139-415,Rua Triunfo,,Lagoa Azul,Natal,RN,,
59129-710,Rua Triângulo Mineiro,,Lagoa Azul,Natal,RN,,
59129-700,Rua Triângulo das Bermudas,,Lagoa Azul,Natal,RN,,
59066-360,Avenida Tropical,,Pitimbu,Natal,RN,,
59122-730,Rua Trovador Carlos Homem de Siqueira,,Pajuçara,Natal,RN,,
59122-740,Rua Trovador Gumercindo Saraiva,,Pajuçara,Natal,RN,,
59122-750,Rua Trovador João Carlos de Vasconcelos,,Pajuçara,Natal,RN,,
59122-760,Rua Trovador João Estevam Gomes da Silva,,Pajuçara,Natal,RN,,
59122-745,Rua Trovador Mariano Coelho,,Pajuçara,Natal,RN,,
59122-735,Rua Trovador Mário Siqueira,,Pajuçara,Natal,RN,,
59122-755,Rua Trovadora Maria das Dores Rabelo,,Pajuçara,Natal,RN,,
59129-690,Avenida Três Américas,,Lagoa Azul,Natal,RN,,
59129-691,Travessa Três Américas,,Lagoa Azul,Natal,RN,,
59110-450,Rua Três Barras,,Potengi,Natal,RN,,
59115-531,Travessa Três Corações,,Nossa Senhora da Apresentação,Natal,RN,,
59114-675,Avenida Três Irmãos,,Nossa Senhora da Apresentação,Natal,RN,,
59139-572,Rua Três Lagoas,,Lagoa Azul,Natal,RN,,
59068-760,Rua Três Marias,,Pitimbu,Natal,RN,,
59132-680,Rua Três Nações,,Pajuçara,Natal,RN,,
59110-140,Rua Três Rios,,Potengi,Natal,RN,,
59114-277,Travessa Três de Maio,,Nossa Senhora da Apresentação,Natal,RN,,
59010-630,Rua Três de Outubro,,Rocas,Natal,RN,,
59072-132,Rua Tucunaré,,Felipe Camarão,Natal,RN,,
59129-390,Rua Tucuruí,,Potengi,Natal,RN,,
59014-160,Rua Tuiuti,,Petrópolis,Natal,RN,,
59032-570,Travessa Tulipa,,Alecrim,Natal,RN,,
59073-012,Travessa Tulipa,,Planalto,Natal,RN,,
59124-050,Rua Tupaciguara,,Potengi,Natal,RN,,
59124-830,Rua Tupi Paulista,,Potengi,Natal,RN,,
59114-234,Rua Tupi,,Nossa Senhora da Apresentação,Natal,RN,,
59114-229,Travessa Tupi,,Nossa Senhora da Apresentação,Natal,RN,,
59060-410,Rua Tupinambá,,Nossa Senhora de Nazaré,Natal,RN,,
59060-415,Travessa Tupinambá,,Nossa Senhora de Nazaré,Natal,RN,,
59115-630,Rua Tupiraci,,Nossa Senhora da Apresentação,Natal,RN,,
59115-620,Rua Tupitinga,,Nossa Senhora da Apresentação,Natal,RN,,
59114-195,Travessa Tupitinga,,Nossa Senhora da Apresentação,Natal,RN,,
59124-840,Rua Tupã,,Potengi,Natal,RN,,
59072-352,Travessa Turim,,Felipe Camarão,Natal,RN,,
59074-373,Travessa Turquia,,Felipe Camarão,Natal,RN,,
59133-295,Rua Técnico Agrícola Meira e Sá Neto,,Pajuçara,Natal,RN,,
59010-038,Rua Túlio Fernandes,,Praia do Meio,Natal,RN,,
59132-693,Travessa Uaçá,,Pajuçara,Natal,RN,,
59067-620,Rua Ubaia,,Pitimbu,Natal,RN,,
59131-040,Rua Ubaira,,Pajuçara,Natal,RN,,
59124-540,Rua Ubaituba,,Potengi,Natal,RN,,
59068-770,Rua Ubajara,,Pitimbu,Natal,RN,,
59132-340,Rua Ubarana,,Pajuçara,Natal,RN,,
59124-820,Rua Ubatuba,,Potengi,Natal,RN,,
59015-020,Rua Ubiratan,,Tirol,Natal,RN,,
59124-810,Rua Ubá,,Potengi,Natal,RN,,
59073-016,Travessa Uchôa,,Planalto,Natal,RN,,
59067-440,Rua Uirapuru,,Pitimbu,Natal,RN,,
59025-090,Rua Ulisses Caldas,,Cidade Alta,Natal,RN,,
59025-420,Travessa Ulisses Caldas,,Cidade Alta,Natal,RN,,
59122-170,Avenida Ulisses Guimarães,,Redinha,Natal,RN,,
59073-073,Rua Ulisses Guimarães,,Planalto,Natal,RN,,
59115-682,Rua Ulisses Guimarães,,Nossa Senhora da Apresentação,Natal,RN,,
59133-138,Rua Ulisses Guimarães,,Pajuçara,Natal,RN,,
59104-211,Travessa Ulisses,,Igapó,Natal,RN,,
59054-790,Rua Umarizal,,Lagoa Nova,Natal,RN,,
59115-558,Rua Umarizal,,Nossa Senhora da Apresentação,Natal,RN,,
59088-310,Rua Umbelino Coelho,,Neópolis,Natal,RN,,
59120-360,Rua Umbuzeiro,,Potengi,Natal,RN,,
59124-481,1ª Travessa Umuarama,,Potengi,Natal,RN,,
59124-482,2ª Travessa Umuarama,,Potengi,Natal,RN,,
59124-483,3ª Travessa Umuarama,,Potengi,Natal,RN,,
59124-480,Rua Umuarama,,Potengi,Natal,RN,,
59125-480,Travessa Umuarama,,Pajuçara,Natal,RN,,
59073-164,Travessa União,,Planalto,Natal,RN,,
59104-620,Vila União,,Igapó,Natal,RN,,
59139-385,Rua União da Vitória,,Lagoa Azul,Natal,RN,,
59086-300,Rua União dos Palmares,,Neópolis,Natal,RN,,
59063-180,Rua Upanema,,Lagoa Nova,Natal,RN,,
59123-760,Rua Uraiti,,Pajuçara,Natal,RN,,
59050-117,Vila Urso,,Quintas,Natal,RN,,
59120-548,Rua Urtigueira,,Potengi,Natal,RN,,
59124-510,Rua Uruana,,Potengi,Natal,RN,,
59125-180,Rua Uruassu,,Potengi,Natal,RN,,
59030-590,Rua Uruassu,,Barro Vermelho,Natal,RN,,
59131-680,Rua Urucanga,,Pajuçara,Natal,RN,,
59069-160,Rua Urupês,,Pitimbu,Natal,RN,,
59124-250,Rua Urussonga,,Potengi,Natal,RN,,
59131-690,Rua Urutaí,,Pajuçara,Natal,RN,,
59106-240,Rua Urânio,,Igapó,Natal,RN,,
59115-567,Travessa Ushuaia,,Nossa Senhora da Apresentação,Natal,RN,,
59069-590,Rua Uvaia,,Pitimbu,Natal,RN,,
59010-150,Travessa Vagalúpia,,Praia do Meio,Natal,RN,,
59104-298,Travessa Valcácia,,Igapó,Natal,RN,,
59012-260,Rua Valdemar Falcão,,Petrópolis,Natal,RN,,
59115-680,Rua Valdemiro Alcebides,,Nossa Senhora da Apresentação,Natal,RN,,
59115-529,Travessa Valdemiro Alcebides,,Nossa Senhora da Apresentação,Natal,RN,,
59115-591,Travessa Valdir Peres,,Nossa Senhora da Apresentação,Natal,RN,,
59064-670,Rua Valdir Targino,,Candelária,Natal,RN,,
59073-163,Travessa Valdir Vieira,,Planalto,Natal,RN,,
59114-131,2ª Travessa Vale Dourado,,Nossa Senhora da Apresentação,Natal,RN,,
59114-132,5ª Travessa Vale Dourado,,Nossa Senhora da Apresentação,Natal,RN,,
59114-144,Travessa Vale Dourado,,Nossa Senhora da Apresentação,Natal,RN,,
59114-357,Rua Vale Real,,Nossa Senhora da Apresentação,Natal,RN,,
59122-510,Rua Vale Verde,,Pajuçara,Natal,RN,,
59073-257,Travessa Vale Verde,,Planalto,Natal,RN,,
59022-190,Rua Vale de Miranda,,Tirol,Natal,RN,,
59114-052,Rua Vale do Cabugi,,Nossa Senhora da Apresentação,Natal,RN,,
59115-390,Rua Vale do Cariri,,Nossa Senhora da Apresentação,Natal,RN,,
59115-270,Rua Vale do Jaguaribe,,Nossa Senhora da Apresentação,Natal,RN,,
59115-155,Travessa Vale do Jaguaribe,,Nossa Senhora da Apresentação,Natal,RN,,
59073-175,Rua Vale do Pitimbu,,Planalto,Natal,RN,,
59114-280,Rua Vale do Sol,,Nossa Senhora da Apresentação,Natal,RN,,
59122-500,Rua Vale do Sol,,Pajuçara,Natal,RN,,
59129-586,Rua Vale do Sol,,Lagoa Azul,Natal,RN,,
59115-527,Travessa Vale do Sol,,Nossa Senhora da Apresentação,Natal,RN,,
59129-587,Travessa Vale do Sol,,Lagoa Azul,Natal,RN,,
59090-465,Rua Vale do Sul,,Ponta Negra,Natal,RN,,
59031-177,Rua Vale do Sul,,Alecrim,Natal,RN,,
59014-070,Rua Valentim de Almeida,,Areia Preta,Natal,RN,,
59110-110,Rua Valença,,Potengi,Natal,RN,,
59131-700,Rua Valinhos,,Pajuçara,Natal,RN,,
59072-106,Travessa Valparaíso,,Felipe Camarão,Natal,RN,,
59074-820,Rua Valter Carvalho,,Guarapes,Natal,RN,,
59082-090,Rua Valter Fernandes,,Capim Macio,Natal,RN,,
59072-114,Travessa Valverde,,Felipe Camarão,Natal,RN,,
59073-173,Travessa Valéria,,Planalto,Natal,RN,,
59073-203,Travessa Valência,,Planalto,Natal,RN,,
59131-710,Rua Vanderlândia,,Pajuçara,Natal,RN,,
59066-490,Rua Vandick Lopes,,Candelária,Natal,RN,,
59123-423,Travessa Vasco da Gama,,Pajuçara,Natal,RN,,
59025-310,Rua Vaz Gondim,,Cidade Alta,Natal,RN,,
59056-390,Rua Velho Modesto,,Nova Descoberta,Natal,RN,,
59056-395,Travessa Velho Modesto,,Nova Descoberta,Natal,RN,,
59090-218,Rua Venera Dantas de Medeiros,,Ponta Negra,Natal,RN,,
59092-546,Rua Venerável João de Almeida Reis,,Ponta Negra,Natal,RN,,
59012-256,Travessa Venezuela,,Ribeira,Natal,RN,,
59074-338,Travessa Ventura,,Felipe Camarão,Natal,RN,,
59050-107,Vila Ver Oito,,Quintas,Natal,RN,,
59129-300,Rua Vera Cruz,,Potengi,Natal,RN,,
59114-301,Travessa Vera Cruz,,Nossa Senhora da Apresentação,Natal,RN,,
59072-330,Rua Veranópolis,,Felipe Camarão,Natal,RN,,
59073-355,Rua Verde Vale,,Planalto,Natal,RN,,
59075-330,Rua Verdes Mares,,Nova Descoberta,Natal,RN,,
59122-528,Rua Verdes Mares,,Pajuçara,Natal,RN,,
59014-580,Rua Vereador Amaro Magalhães,,Tirol,Natal,RN,,
59091-000,Rua Vereador Antônio Cortez,,Ponta Negra,Natal,RN,,
59074-037,Rua Vereador Augusto de Souza,,Felipe Camarão,Natal,RN,,
59010-320,Rua Vereador Cauby Barroca,,Rocas,Natal,RN,,
59010-325,Travessa Vereador Cauby Barroca,,Rocas,Natal,RN,,
59037-706,Travessa Vereador Celso de Oliveira Correia,,Alecrim,Natal,RN,,
59031-020,Rua Vereador Cícero Azevedo,,Lagoa Seca,Natal,RN,,
59037-710,Travessa Vereador Dioclécio Bulhões,,Alecrim,Natal,RN,,
59115-560,Rua Vereador Elesbão de Macedo,,Nossa Senhora da Apresentação,Natal,RN,,
59115-561,Travessa Vereador Elesbão de Macedo,,Nossa Senhora da Apresentação,Natal,RN,,
59066-320,Rua Vereador Helion Veras Ramalho,,Pitimbu,Natal,RN,,
59138-870,Rua Vereador José Batista do Nascimento,,Lagoa Azul,Natal,RN,,
59050-070,Rua Vereador José Pinto Freire,,Quintas,Natal,RN,,
59050-075,Travessa Vereador José Pinto Freire,,Quintas,Natal,RN,,
59040-050,Rua Vereador José Sotero,,Alecrim,Natal,RN,,
59014-530,Rua Vereador João Alves da Silva Filho,,Tirol,Natal,RN,,
59014-531,Travessa Vereador João Alves da Silva Filho,,Tirol,Natal,RN,,
59031-040,Rua Vereador João Estevam de Andrade,,Lagoa Seca,Natal,RN,,
59031-050,Travessa Vereador João Estevam de Andrade,,Lagoa Seca,Natal,RN,,
59014-110,Rua Vereador João Soares de Araújo,,Areia Preta,Natal,RN,,
59094-625,Rua Vereador Lourival Bezerra,,Ponta Negra,Natal,RN,,
59090-190,Rua Vereador Manoel Coringa de Lemos,,Ponta Negra,Natal,RN,,
59090-180,Rua Vereador Manoel Sátiro,,Ponta Negra,Natal,RN,,
59037-470,Rua Vereador Martinho Machado,,Alecrim,Natal,RN,,
59062-580,Rua Vereador Olímpio Procópio de Moura,,Nossa Senhora de Nazaré,Natal,RN,,
59056-010,Rua Vereador Orlando Garcia,,Lagoa Nova,Natal,RN,,
59056-011,Travessa Vereador Orlando Garcia,,Lagoa Nova,Natal,RN,,
59040-250,Rua Vereador Pereira Pinto,,Alecrim,Natal,RN,,
59035-190,Rua Vereador Sebastião Malaquias,,Quintas,Natal,RN,,
59065-700,Praça Vereador Souza Silva,,Candelária,Natal,RN,,
59139-480,Rua Vereador Sérgio Dieb,,Lagoa Azul,Natal,RN,,
59094-560,Rua Vereador Érico Hackradt,,Ponta Negra,Natal,RN,,
59062-410,Rua Vereadora Maria Queiroz,,Lagoa Nova,Natal,RN,,
59074-176,Travessa Verona,,Felipe Camarão,Natal,RN,,
59069-290,Rua Vertentes,,Pitimbu,Natal,RN,,
59114-330,Rua Vesúvio,,Nossa Senhora da Apresentação,Natal,RN,,
59062-210,Vila Viana,,Nossa Senhora de Nazaré,Natal,RN,,
59035-360,Vila Viana,,Quintas,Natal,RN,,
59073-014,Travessa Vianei,,Planalto,Natal,RN,,
59069-505,Rua Vianópolis,,Pitimbu,Natal,RN,,
59060-450,Rua Vicente Celestino,,Nossa Senhora de Nazaré,Natal,RN,,
59104-244,Travessa Vicente Cruz,,Igapó,Natal,RN,,
59082-370,Rua Vicente Egberto Cavalcante,,Capim Macio,Natal,RN,,
59073-364,Rua Vicente Farias,,Planalto,Natal,RN,,
59052-232,1ª Travessa Vicente Feola,,Dix-Sept Rosado,Natal,RN,,
59052-234,2ª Travessa Vicente Feola,,Dix-Sept Rosado,Natal,RN,,
59052-230,Rua Vicente Feola,,Dix-Sept Rosado,Natal,RN,,
59073-168,Rua Vicente Martins Fernandes,,Planalto,Natal,RN,,
59060-640,Vila Vicente Martins,,Nossa Senhora de Nazaré,Natal,RN,,
59063-650,Rua Vicente Mesquita,,Lagoa Nova,Natal,RN,,
59025-640,Largo Vicente de Lemos,,Cidade Alta,Natal,RN,,
59054-150,Vila Victor Diogo,,Dix-Sept Rosado,Natal,RN,,
59114-731,Rua Victor Leite,,Nossa Senhora da Apresentação,Natal,RN,,
59072-119,Praça Vida Nova,,Felipe Camarão,Natal,RN,,
59074-339,Travessa Viena,,Felipe Camarão,Natal,RN,,
59010-392,Rua Vietinã,,Santos Reis,Natal,RN,,
59010-394,Travessa Vietinã,,Santos Reis,Natal,RN,,
59010-450,Rua Vietnam,,Santos Reis,Natal,RN,,
59010-455,Travessa Vietnam,,Santos Reis,Natal,RN,,
59014-178,Travessa Vigilante Carlão,,Areia Preta,Natal,RN,,
59025-100,Rua Vigário Bartolomeu,,Cidade Alta,Natal,RN,,
59025-904,Rua Vigário Bartolomeu 635,,Cidade Alta,Natal,RN,,
59114-176,Travessa Vila Bela,,Nossa Senhora da Apresentação,Natal,RN,,
59133-133,Rua Vila Real,,Pajuçara,Natal,RN,,
59074-301,Travessa Vila Real,,Felipe Camarão,Natal,RN,,
59068-630,Rua Vila Velha,,Pitimbu,Natal,RN,,
59090-325,Rua Vila Verde,,Ponta Negra,Natal,RN,,
59074-137,Travessa Vila do Conde,,Felipe Camarão,Natal,RN,,
59090-505,Rua Vila do Mar,,Ponta Negra,Natal,RN,,
59015-140,Rua Vilagran Cabrita,,Tirol,Natal,RN,,
59035-148,2ª Travessa Vilela,,Quintas,Natal,RN,,
59035-147,Vila Vilela,,Quintas,Natal,RN,,
59065-440,Rua Villa Lobos,,Candelária,Natal,RN,,
59133-134,Rua Vilma de Farias,,Pajuçara,Natal,RN,,
59124-070,Rua Vinhaedo,,Potengi,Natal,RN,,
59120-602,Rua Vinte de Agosto,,Potengi,Natal,RN,,
59133-327,Rua Vinte de Novembro,,Pajuçara,Natal,RN,,
59010-030,Avenida Vinte e Cinco de Dezembro,,Praia do Meio,Natal,RN,,
59010-035,Rua Vinte e Cinco de Dezembro,,Praia do Meio,Natal,RN,,
59010-036,Travessa Vinte e Cinco de Dezembro,,Praia do Meio,Natal,RN,,
59114-324,Rua Vinte e Cinco de Junho,,Nossa Senhora da Apresentação,Natal,RN,,
59035-316,2ª Travessa Vinte e Cinco de Março,,Quintas,Natal,RN,,
59035-310,Rua Vinte e Cinco de Março,,Quintas,Natal,RN,,
59035-315,Travessa Vinte e Cinco de Março,,Quintas,Natal,RN,,
59114-342,Rua Vinte e Dois de Abril,,Nossa Senhora da Apresentação,Natal,RN,,
59115-538,Travessa Vinte e Oito de Julho,,Nossa Senhora da Apresentação,Natal,RN,,
59120-608,Rua Vinte e Seis de Fevereiro,,Potengi,Natal,RN,,
59073-198,Travessa Vinte e Seis de Julho,,Planalto,Natal,RN,,
59090-322,Rua Vinte e Três de Julho,,Ponta Negra,Natal,RN,,
59115-485,Rua Vinte e Três de Março,,Nossa Senhora da Apresentação,Natal,RN,,
59066-835,Rua Vinte e Um de Janeiro,,Candelária,Natal,RN,,
