cep,logradouro,complemento,bairro,cidade,estado,longitude,latitude
59074-396,Travessa Alicante,,Felipe Camarão,Natal,RN,,
59080-015,Rua Alice Azevedo,,Capim Macio,Natal,RN,,
59073-077,Rua Alice Câmara,,Planalto,Natal,RN,,
59139-625,Rua Aline Veríssimo,,Lagoa Azul,Natal,RN,,
59015-060,Rua Almeida Castro,,Tirol,Natal,RN,,
59090-618,Travessa Almeida,,Ponta Negra,Natal,RN,,
59035-220,Vila Almeida,,Quintas,Natal,RN,,
59012-010,Rua Almino Afonso,,Ribeira,Natal,RN,,
59037-155,Vila Almir,,Alecrim,Natal,RN,,
59030-356,2ª Travessa Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,,
59030-350,Avenida Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,,
59031-350,Avenida Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,,
59022-350,Avenida Almirante Alexandrino de Alencar,,Lagoa Seca,Natal,RN,,
59015-350,Avenida Almirante Alexandrino de Alencar,,Tirol,Natal,RN,,
59030-660,Avenida Almirante Alexandrino de Alencar,,Barro Vermelho,Natal,RN,,
59030-355,Travessa Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,,
59040-140,Rua Almirante Aristides Guilhem,,Alecrim,Natal,RN,,
59010-110,Rua Almirante Barroso,,Praia do Meio,Natal,RN,,
59037-080,Praça Almirante Gonçalves,,Alecrim,Natal,RN,,
59040-170,Praça Almirante Isaías de Noronha,,Alecrim,Natal,RN,,
59030-020,Praça Almirante Marquês de Tamandaré,,Alecrim,Natal,RN,,
59022-600,Rua Almirante Nelson Fernandes,,Barro Vermelho,Natal,RN,,
59054-560,Rua Almirante Tamandaré,,Lagoa Nova,Natal,RN,,
59054-565,Travessa Almirante Tamandaré,,Lagoa Nova,Natal,RN,,
59015-100,Rua Almirante Teotônio Carvalho,,Tirol,Natal,RN,,
59054-520,Rua Almirante Tértius Rebelo,,Lagoa Nova,Natal,RN,,
59030-230,Rua Alonso de Almeida,,Barro Vermelho,Natal,RN,,
59115-601,Travessa Alpina,,Nossa Senhora da Apresentação,Natal,RN,,
59069-210,Rua Alpinópolis,,Pitimbu,Natal,RN,,
59010-120,Rua Altamira,,Praia do Meio,Natal,RN,,
59010-125,Travessa Altamira,,Praia do Meio,Natal,RN,,
59122-272,Rua Altamiro Bastos,,Redinha,Natal,RN,,
59123-023,Rua Altamiro Lopes,,Pajuçara,Natal,RN,,
59112-600,Rua Altaneira,2717,Potengi,Natal,RN,,
59110-600,Rua Altaneira,2719,Potengi,Natal,RN,,
59090-177,Rua Altemar Dutra,,Ponta Negra,Natal,RN,,
59091-070,Rua Alterosa,,Ponta Negra,Natal,RN,,
59084-460,Rua Alterosa,,Neópolis,Natal,RN,,
59131-260,Rua Altinópolis,,Pajuçara,Natal,RN,,
59086-375,Avenida Alto Monte Belo,,Neópolis,Natal,RN,,
59124-270,Rua Alto Paraná,,Potengi,Natal,RN,,
59124-450,Rua Alto Pequiri,,Potengi,Natal,RN,,
59014-360,Rua Alto da Bacia,,Mãe Luiza,Natal,RN,,
59042-250,Rua Alto da Bela Vista,,Nordeste,Natal,RN,,
59042-251,Travessa Alto da Bela Vista,,Nordeste,Natal,RN,,
59090-310,Rua Alto da Boa Vista,,Ponta Negra,Natal,RN,,
59123-305,Rua Alto da Boa Vista,,Pajuçara,Natal,RN,,
59123-515,Rua Alto da Boa Vista,,Pajuçara,Natal,RN,,
59090-309,Travessa Alto da Boa Vista,,Ponta Negra,Natal,RN,,
59014-440,Rua Alto da Colina,,Mãe Luiza,Natal,RN,,
59133-092,Rua Alto da Colina,,Pajuçara,Natal,RN,,
59122-205,Rua Alto da Conceição,,Redinha,Natal,RN,,
59122-274,Rua Alto da Floresta,,Redinha,Natal,RN,,
59115-200,Rua Alto da Glória,,Nossa Senhora da Apresentação,Natal,RN,,
59132-650,Rua Alto da Graça,,Pajuçara,Natal,RN,,
59122-036,Rua Alto da Liberdade,,Redinha,Natal,RN,,
59123-300,Rua Alto da Roseira,,Pajuçara,Natal,RN,,
59123-325,Travessa Alto da Roseira,,Pajuçara,Natal,RN,,
59068-740,Rua Alto da Serra,,Pitimbu,Natal,RN,,
59122-044,Rua Alto da Torre,,Redinha,Natal,RN,,
59122-039,Rua Alto das Dunas,,Redinha,Natal,RN,,
59122-038,Rua Alto do Miramar,,Redinha,Natal,RN,,
59073-214,Travessa Alto do Monte,,Planalto,Natal,RN,,
59115-210,Rua Alto dos Coqueiros,,Nossa Senhora da Apresentação,Natal,RN,,
59014-320,Rua Aluízio Alves,,Mãe Luiza,Natal,RN,,
59042-270,Rua Aluízio Alves,,Nordeste,Natal,RN,,
59014-325,Travessa Aluízio Alves,,Mãe Luiza,Natal,RN,,
59056-170,Rua Aluízio Bezerra,,Lagoa Nova,Natal,RN,,
59050-123,Vila Aluízio,,Quintas,Natal,RN,,
59042-370,Rua Alverca,,Nordeste,Natal,RN,,
59042-372,Travessa Alverca,,Nordeste,Natal,RN,,
59037-012,Vila Alves,,Alecrim,Natal,RN,,
59035-149,Vila Alves,,Quintas,Natal,RN,,
59104-213,1ª Travessa Alvorada,,Igapó,Natal,RN,,
59104-215,2ª Travessa Alvorada,,Igapó,Natal,RN,,
59104-210,Rua Alvorada,,Igapó,Natal,RN,,
59123-343,Rua Alvorada,,Pajuçara,Natal,RN,,
59104-216,Vila Alvorada,,Igapó,Natal,RN,,
59084-040,Rua Alvorada de Minas,,Neópolis,Natal,RN,,
59115-230,Rua Alvorada do Norte,,Nossa Senhora da Apresentação,Natal,RN,,
59114-179,Rua Alvorecer,,Nossa Senhora da Apresentação,Natal,RN,,
59139-522,Avenida Alzira Dias de Araújo,,Lagoa Azul,Natal,RN,,
59022-320,Rua Alzira Soriano,,Lagoa Seca,Natal,RN,,
59073-072,Rua Alziro Zaruh,,Planalto,Natal,RN,,
59035-040,Rua Alípio Bandeira,,Quintas,Natal,RN,,
59035-045,Travessa Alípio Bandeira,,Quintas,Natal,RN,,
59080-430,Rua Amambaí,,Neópolis,Natal,RN,,
59069-190,Rua Amanari,,Pitimbu,Natal,RN,,
59123-012,Travessa Amandy,,Pajuçara,Natal,RN,,
59078-152,Travessa Amapolas,,Capim Macio,Natal,RN,,
59080-130,Rua Amapá,,Neópolis,Natal,RN,,
59115-430,Rua Amariles,,Nossa Senhora da Apresentação,Natal,RN,,
59031-450,Rua Amaro Barreto,,Alecrim,Natal,RN,,
59040-450,Rua Amaro Barreto,,Alecrim,Natal,RN,,
59125-355,Rua Amaro Ienaga,,Pajuçara,Natal,RN,,
59054-730,Rua Amaro Lúcio,,Lagoa Nova,Natal,RN,,
59056-270,Rua Amaro Mesquita,,Lagoa Nova,Natal,RN,,
59080-120,Rua Amazonas,,Neópolis,Natal,RN,,
59114-033,Travessa Amazônia,,Nossa Senhora da Apresentação,Natal,RN,,
59062-250,Avenida Amintas Barros,481,Bom Pastor,Natal,RN,,
59075-250,Avenida Amintas Barros,4427,Nova Descoberta,Natal,RN,,
59062-350,Avenida Amintas Barros,2272,Lagoa Nova,Natal,RN,,
59054-465,Avenida Amintas Barros,2271,Lagoa Nova,Natal,RN,,
59054-830,Avenida Amintas Barros,2893,Lagoa Nova,Natal,RN,,
59063-350,Avenida Amintas Barros,2894,Lagoa Nova,Natal,RN,,
59056-215,Avenida Amintas Barros,3513,Lagoa Nova,Natal,RN,,
59075-810,Avenida Amintas Barros,3514,Lagoa Nova,Natal,RN,,
59056-265,Avenida Amintas Barros,4129,Lagoa Nova,Natal,RN,,
59075-015,Avenida Amintas Barros,4130,Lagoa Nova,Natal,RN,,
59054-145,Avenida Amintas Barros,1215,Dix-Sept Rosado,Natal,RN,,
59062-195,Avenida Amintas Barros,1216,Nossa Senhora de Nazaré,Natal,RN,,
59062-255,Travessa Amintas Barros,,Bom Pastor,Natal,RN,,
59060-250,Travessa Amintas Barros,,Bom Pastor,Natal,RN,,
59054-475,Travessa Amintas Barros,,Lagoa Nova,Natal,RN,,
59062-198,Travessa Amintas Barros,,Nossa Senhora de Nazaré,Natal,RN,,
59075-255,Vila Amintas Barros,,Nova Descoberta,Natal,RN,,
59084-050,Rua Amparo da Serra,,Neópolis,Natal,RN,,
59124-680,Rua Ampére,,Potengi,Natal,RN,,
59022-160,Vila Amália Dantas,,Tirol,Natal,RN,,
59090-657,Rua Amália Nascimento,,Ponta Negra,Natal,RN,,
59139-410,Avenida Amélia Cristina,,Lagoa Azul,Natal,RN,,
59066-480,Rua Amélia Machado,,Candelária,Natal,RN,,
59082-060,Rua Américo Soares Wanderley,,Capim Macio,Natal,RN,,
59037-050,Travessa Américo Vespúcio,,Alecrim,Natal,RN,,
