cep,udh
59080-520,1240810200019
59149-336,1240325100014
59068-120,1240810200019
59068-130,1240810200019
59600-001,
59270-000,
59086-070,1240810200016
59122-130,1240810200058
59141-730,1240325100029
59071-220,1240810200041
59069-510,1240810200017
59149-230,1240325100024
59073-160,1240810200042
59605-320,
59600-190,
59122-200,1240810200058
59115-567,
59114-200,1240810200056
59032-150,1240810200025
59073-234,1240810200048
59123-578,1240810200008
59073-183,
59120-270,1240810200053
59090-315,1240810200011
59012-140,1240810200030
59139-140,1240810200004
59063-650,1240810200022
59148-676,1240325100012
59149-090,1241220300002
59136-040,1240810200004
59295-850,1241200500008
59390-000,
59040-250,1240810200031
59035-315,1240810200045
59072-610,1240810200048
59141-260,1240325100029
59132-190,1240810200059
59616-602,
59072-150,1240810200049
59074-690,1240810200048
59114-070,1240810200056
59275-000,
59072-230,1240810200049
59040-580,1240810200045
59075-050,1240810200010
59074-470,1240810200049
59012-480,1240810200033
59020-620,1240810200001
59056-400,1240810200020
59040-260,1240810200031
59156-775,1240325100005
59092-100,1240810200013
59115-670,1240810200005
59122-145,1240810200058
59070-702,1240810200038
59063-380,1240810200020
59042-010,1240810200045
59068-150,1240810200019
59621-180,
59149-330,1240325100014
59115-295,1240810200055
59074-620,1240810200048
59012-270,1240810200001
59980-000,
59145-830,1240325100025
59080-230,1240810200019
59035-090,1240810200045
59037-390,1240810200031
59062-700,1240810200041
59140-350,1240325100004
59114-280,1240810200006
59073-200,1240810200048
59122-400,1240810200053
59291-697,1241200500001
59146-280,1240325100019
59070-230,1240810200041
59080-460,1240810200019
59607-571,
59350-000,
59151-680,1240325100008
59068-190,1240810200019
59063-130,1240810200022
59293-603,1241200500016
59430-000,
59020-150,1240810200003
59157-385,1240325100005
59151-610,1240325100021
59151-902,1240325100021
59084-220,1240810200013
59145-390,1240325100025
59075-400,1240810200010
59082-480,1240810200013
59621-250,
59074-730,1240810200048
59082-353,1240810200013
59020-250,1240810200003
59182-000,1240780700001
59902-000,
59068-970,1240810200017
59133-110,1240810200059
59131-500,1240810200059
59064-364,1240810200022
59151-250,1240325100021
59025-300,1240810200035
59625-015,
59050-095,1240810200046
11087-320,
59143-210,1240325100032
59122-266,1240810200008
59056-190,1240810200020
58755-000,
59155-700,1240325100018
59293-495,1241200500016
59086-025,1240810200019
59148-590,1240325100012
59148-290,1240325100012
59114-010,1240810200056
59082-180,1240810200013
59124-220,1240810200053
59127-630,1240810200053
59114-118,1240810200005
59110-020,1240810200053
59015-290,1240810200001
59066-900,1240810200019
59115-545,1240810200005
59062-070,1240810200041
59605-400,
59347-000,
59148-902,1240325100024
59077-020,
59088-725,1240810200016
59073-190,1240810200044
59046-070,
59010-520,1240810200028
59106-110,1240810200056
59132-000,1240810200059
59073-100,1240810200048
59135-350,1240810200059
59141-705,1240325100029
59146-070,1240325100019
59042-140,1240810200045
59395-000,
59145-030,1240325100003
59127-280,1240810200053
59074-776,1240810200048
59513-000,
59040-480,1240810200045
59012-330,1240810200001
59020-810,
59149-175,1240325100007
59115-710,1240810200005
59214-000,
59133-130,1240810200008
59071-420,1240810200041
59010-030,1240810200036
59022-050,1240810200032
59140-800,1240325100009
59074-670,1240810200048
59070-600,1240810200041
59067-390,1240810200019
59074-350,1240810200049
59296-388,1241200500008
59152-380,1240325100021
59078-330,1240810200013
59120-420,1240810200053
59010-360,1240810200030
59068-600,1240810200019
59144-280,1240325100020
59068-440,1240810200019
59012-600,1240810200033
58520-000,
59124-430,1240810200053
59072-305,1240810200049
59035-470,1240810200045
59040-340,1240810200035
59155-615,1240325100018
59068-710,1240810200019
59611-060,
59158-400,1240325100028
59156-360,1240325100005
59124-000,1240810200053
59074-800,1240810200048
59156-838,1240325100005
59146-290,1240325100019
59132-410,1240810200059
59149-115,1240325100024
59141-280,1240325100029
59152-715,1240325100021
59010-070,1240810200030
59141-740,1240325100029
59151-060,1240325100021
59510-000,
59178-000,
59070-130,1240810200041
59296-808,1241200500012
59094-110,1240810200013
59020-260,1240810200001
59139-380,1240810200004
59052-061,1240810200041
59127-390,1240810200053
59124-210,1240810200053
59065-030,1240810200021
59082-110,1240810200013
59156-222,1240325100005
59084-280,1240810200016
59073-205,1240810200048
59073-250,1240810200048
59135-740,1240810200059
59135-260,1240810200059
59149-310,1240325100014
59022-110,1240810200032
59140-160,1240325100007
59135-300,1240810200059
59071-330,1240810200041
59052-060,1240810200041
59260-000,
59010-650,1240810200030
59070-750,1240810200041
59135-610,1240810200059
59074-250,1240810200049
59621-000,
59129-360,1240810200053
59603-370,
59064-610,1240810200022
59010-385,1240810200030
59133-040,1240810200059
59615-340,
59138-070,1240810200059
59075-110,1240810200020
59035-340,1240810200045
59073-601,1240810200042
59115-700,1240810200005
59152-080,1240325100008
59104-040,1240810200056
59070-270,1240810200041
59198-000,
59670-000,
59060-295,1240810200046
59068-220,1240810200019
59012-360,1240810200030
59155-775,1240710400013
59151-330,1240325100021
59086-640,1240810200019
59074-590,1240810200049
59142-720,1240325100023
59110-520,1240810200053
59135-430,1240810200004
59074-370,1240810200049
59067-620,1240810200019
59035-040,1240810200045
59296-853,1241200500021
59143-025,1240325100029
59042-330,1240810200060
59022-530,1240810200032
59146-190,1240325100019
59014-200,1240810200002
59014-020,1240810200001
59022-250,1240810200032
59025-390,1240810200035
59090-310,1240810200011
59078-180,1240810200013
59010-310,1240810200030
59080-480,1240810200019
59015-050,1240810200001
59155-760,1240325100018
59124-290,1240810200053
59117-481,1240810200005
59141-490,1240325100029
59073-280,1240810200042
59091-190,1240810200013
59145-630,1240325100025
59070-320,1240810200041
59072-400,1240810200049
59074-145,1240810200049
59114-848,1240810200056
59149-306,1240325100014
59123-422,1240810200008
59012-145,1240810200030
59075-360,1240810200020
59375-000,
59072-844,1240810200041
59010-290,1240810200030
59115-620,1240810200056
59611-090,
59074-721,1240810200048
59338-000,
59140-770,1240325100009
59070-704,1240810200041
59114-040,1240810200056
59072-470,1240810200049
59235-000,
59600-210,
59073-114,1240810200042
59104-272,1240810200056
59063-340,1240810200022
59145-810,1240325100025
59142-360,1240325100030
59090-260,1240810200011
59072-220,1240810200049
59131-750,1240810200059
59014-195,1240810200002
59064-760,1240810200021
59151-410,1240325100021
59062-180,1240810200041
59135-310,1240810200059
59114-221,1240810200056
59291-631,1241200500001
59062-060,1240810200041
59050-150,1240810200046
59073-235,1240810200042
59030-040,1240810200035
59131-510,1240810200008
59115-563,1240810200005
59133-365,1240810200059
59086-120,1240810200016
59062-190,1240810200041
59062-260,1240810200041
59076-660,1240810200015
59120-040,1240810200053
59131-810,1240810200059
59073-110,1240810200048
59295-135,1241200500001
59035-350,1240810200045
59056-110,1240810200020
59022-420,1240810200032
59133-091,1240810200007
59042-160,1240810200045
59152-640,1240325100021
59250-000,
59604-110,
59050-211,1240810200046
59605-150,
59074-340,1240810200049
59069-330,1240810200017
59122-255,1240810200008
59114-252,1240810200056
59082-100,1240810200013
59014-130,1240810200003
59065-650,1240810200021
59074-390,1240810200049
59074-012,1240810200048
59148-743,1240325100012
59080-430,1240810200019
59074-170,1240810200049
59071-010,1240810200041
59144-323,1240325100020
59621-396,
59114-073,1240810200005
59297-492,1241200500001
59014-480,1240810200003
59145-276,1240325100025
59129-000,1240810200053
59070-470,1240810200041
59070-180,1240810200041
59115-590,1240810200005
59114-244,1240810200006
59014-440,1240810200002
59291-721,1241200500001
59067-330,1240810200019
59090-500,1240810200013
59074-037,1240810200049
59147-095,1240325100017
59297-484,1241200500001
59022-080,1240810200032
59625-572,
59131-010,1240810200059
59066-080,1240810200022
59605-070,
59146-060,1240325100025
59133-070,1240810200059
59114-500,1240810200055
59012-450,1240810200033
59025-780,
59063-190,1240810200020
59082-000,1240810200013
59110-390,1240810200041
59064-270,1240810200022
59020-450,1240810200001
59022-230,1240810200031
59138-130,1240810200059
59149-370,1240325100014
59042-060,1240810200045
59030-205,1240810200031
59020-330,1240810200032
59014-006,1240810200002
59146-590,1240325100001
59078-060,1240810200013
59136-100,1240810200004
59073-090,1240810200048
59022-210,1240810200031
59075-015,1240810200020
59890-000,
59064-710,1240810200021
59604-455,
59125-320,1240810200059
59296-805,1241200500001
59042-420,1240810200060
59125-310,1240810200059
59052-255,1240810200046
59628-587,
59030-570,1240810200032
59618-200,
59078-150,1240810200013
59065-080,1240810200021
59148-650,1240325100012
59073-070,1240810200048
59139-000,1240810200059
59140-370,1240325100004
59141-340,1240325100029
59855-000,
59140-175,1240325100007
59155-465,1240325100015
59628-720,
59140-180,1240325100007
59088-090,1240810200016
59293-066,1241200500017
59185-000,
59120-180,1240810200053
59040-133,1240810200031
59040-130,1240810200035
59618-080,
59136-010,1240810200059
59156-210,1240325100005
59069-080,1240810200052
59064-510,1240810200022
59155-740,1240325100018
59146-810,1240325100023
59020-090,1240810200001
59628-160,
59603-350,
59139-350,1240810200004
59120-400,1240810200053
59040-030,1240810200035
59155-180,1240325100015
59020-100,1240810200001
