logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Travessa Sílvio Caldas,,Bom Pastor,Natal,RN,59050-370,-35.2352224,-5.807635700000001
Rua Sílvio Pelico,,Alecrim,Natal,RN,59040-150,-35.2193182,-5.792604
Travessa Sócrates,,Nossa Senhora da Apresentação,Natal,RN,59115-039,-35.2752715,-5.7430314
Rua Tabajara,,Planalto,Natal,RN,59073-380,-35.2563655,-5.8617155
Rua Tabapuã,,Potengi,Natal,RN,59125-190,-35.2438822,-5.749394199999999
Rua Tabatinga,,Potengi,Natal,RN,59129-270,-35.2550168,-5.740908
Rua Tabelião Manoel Procópio,,Lagoa Nova,Natal,RN,59075-010,-35.2091987,-5.821612099999999
Vila Tabelião Manoel Procópio,,Lagoa Nova,Natal,RN,59075-011,-35.2080085,-5.8220773
Rua Tabelião Manoel Procópio de Moura,,Lagoa Nova,Natal,RN,59060-630,-35.2091987,-5.821612099999999
Rua Tabelião Sebastião Miguel de Lima,,Neópolis,Natal,RN,59080-525,-35.2066963,-5.859860299999999
Rua Taguari,,Pitimbu,Natal,RN,59069-230,-35.2427143,-5.8451078
Rua Taguaritinga,,Potengi,Natal,RN,59124-020,-35.2436004,-5.753735499999999
Rua Taguatinga,,Pajuçara,Natal,RN,59122-340,-35.2358052,-5.7504824
Rua Tainá,,Planalto,Natal,RN,59073-245,-35.253008,-5.8515269
Rua Taiti,,Planalto,Natal,RN,59073-366,-35.2667492,-5.8540093
Rua Taiuva,,Pitimbu,Natal,RN,59069-440,-35.2441396,-5.8502094
Rua Tamarineira,,Potengi,Natal,RN,59120-390,-35.2427795,-5.7582916
Rua Tamboara,,Pitimbu,Natal,RN,59068-560,-35.2408574,-5.8525736
Rua Tamboril,,Guarapes,Natal,RN,59074-870,-35.2672873,-5.8546995
Rua Tamboril,,Planalto,Natal,RN,59073-300,-35.2672873,-5.8546995
Rua Tambuí,,Pitimbu,Natal,RN,59068-790,-35.2340777,-5.862997399999999
Rua Tamirim,,Guarapes,Natal,RN,59074-868,-35.2656797,-5.853472500000001
Rua Tamirim,,Planalto,Natal,RN,59073-290,-35.2656797,-5.853472500000001
Travessa Tamirim,,Planalto,Natal,RN,59073-294,-35.2656797,-5.853472500000001
Rua Tamoios,,Pajuçara,Natal,RN,59131-640,-35.242472,-5.7231925
Rua Tanabi,,Potengi,Natal,RN,59125-210,-35.242778,-5.7493694
1ª Travessa Tancredo Neves,,Pajuçara,Natal,RN,59123-221,-35.2413643,-5.7463432
Rua Tancredo Neves,,Pajuçara,Natal,RN,59125-500,-35.2417388,-5.746432899999999
Rua Tancredo Neves,,Pajuçara,Natal,RN,59123-230,-35.2417388,-5.746432899999999
Rua Tancredo Neves,,Planalto,Natal,RN,59073-351,-35.25445759999999,-5.8476591
Travessa Tancredo Neves,,Pajuçara,Natal,RN,59123-220,-35.2410414,-5.7468292
Rua Tangará,,Lagoa Azul,Natal,RN,59139-402,-35.2685712,-5.7236904
Rua Tangará da Serra,,Nossa Senhora da Apresentação,Natal,RN,59114-450,-35.2764983,-5.7617083
Praça Taperoá,,Pitimbu,Natal,RN,59068-780,-35.2368247,-5.851161599999999
Rua Tapevi,,Pitimbu,Natal,RN,59068-800,-35.2340777,-5.862997399999999
Rua Tapirai,,Potengi,Natal,RN,59129-240,-35.2542534,-5.7392667
Rua Tapirama,,Nossa Senhora da Apresentação,Natal,RN,59114-290,-35.2732573,-5.7586205
Travessa Taquarana,,Nossa Senhora da Apresentação,Natal,RN,59115-635,-35.2687428,-5.746589699999999
Rua Taquaritinga,,Potengi,Natal,RN,59124-670,-35.2436004,-5.753735499999999
Rua Taquarituba,,Potengi,Natal,RN,59124-060,-35.244858,-5.7544809
Rua Tarauca,,Potengi,Natal,RN,59124-550,-35.2460616,-5.743729
Rua Tarcísio Galvão,,Nova Descoberta,Natal,RN,59056-510,-35.1988545,-5.821783099999999
Travessa Tarcísio Ribeiro,,Nossa Senhora da Apresentação,Natal,RN,59114-226,-35.2660068,-5.7456458
Travessa Tarcísio,,Redinha,Natal,RN,59122-223,-35.2118241,-5.7426089
Rua Tarumã,,Planalto,Natal,RN,59073-810,-35.2668044,-5.850413
Rua Tasso de Macedo,,Nossa Senhora da Apresentação,Natal,RN,59114-060,-35.2679557,-5.760550299999999
Rua Tataíra,,Lagoa Azul,Natal,RN,59139-100,-35.2623624,-5.7299488
Rua Tatiana Maia,,Lagoa Azul,Natal,RN,59139-395,-35.2720629,-5.734408
Rua Tatuquara,,Planalto,Natal,RN,59073-804,-35.2660297,-5.8499285
Rua Tatuí,,Potengi,Natal,RN,59124-210,-35.24817,-5.7449903
Rua Taubaté,,Potengi,Natal,RN,59129-290,-35.2561423,-5.741315
Rua Tauá,,Potengi,Natal,RN,59108-460,-35.2591974,-5.764830799999999
Vila Tavares,,Quintas,Natal,RN,59035-256,-35.2234916,-5.8062032
Avenida Tavares de Lira,,Ribeira,Natal,RN,59012-050,-35.20570980000001,-5.7774363
Rua Teatrólogo Amaro de Andrade,,Capim Macio,Natal,RN,59080-062,-35.2067832,-5.8527485
Rua Teatrólogo Jesiel Figueiredo,,Planalto,Natal,RN,59073-275,-35.2629273,-5.8522146
Rua Teatrólogo Meira Pires,,Capim Macio,Natal,RN,59080-090,-35.20480240000001,-5.853536099999999
Travessa Teatrólogo Meira Pires,,Capim Macio,Natal,RN,59080-072,-35.20480240000001,-5.853536099999999
Rua Teca Sales,,Candelária,Natal,RN,59065-360,-35.2214323,-5.8405887
Vila Teixeira,,Igapó,Natal,RN,59104-610,-35.2664651,-5.7657269
Vila Teixeira,,Nova Descoberta,Natal,RN,59075-362,-35.199522,-5.8232887
Rua Teixeira de Castro,,Redinha,Natal,RN,59122-445,-35.2269443,-5.748181799999999
Rua Tenente Alberto Gomes,,Alecrim,Natal,RN,59040-120,-35.2146927,-5.7919186
Rua Tenente Benedito Pereira,,Petrópolis,Natal,RN,59012-290,-35.1991617,-5.7810589
Rua Tenente Brandão,,Lagoa Seca,Natal,RN,59031-030,-35.2102186,-5.8043454
Rua Tenente Cerqueira,,Tirol,Natal,RN,59015-250,-35.1962111,-5.809673699999999
Rua Tenente Claudionor Amaro de Oliveira,,Potengi,Natal,RN,59110-670,-35.2484244,-5.762134100000001
Rua Tenente Claudionor Amaro de Oliveira,,Salinas,Natal,RN,59107-010,-35.2484244,-5.762134100000001
Rua Tenente Juracir,,Redinha,Natal,RN,59122-106,-35.2097795,-5.739585099999999
Rua Tenente Juvenal Barbosa do Nascimento,,Nordeste,Natal,RN,59042-080,-35.2388968,-5.801127699999999
Rua Tenente Júlio Gomes,,Tirol,Natal,RN,59015-280,-35.2016582,-5.8109926
Praça Tenente Nobre,,Lagoa Nova,Natal,RN,59054-805,-35.2105888,-5.8359939
Rua Tenente Olavo Francisco dos Santos,,Ponta Negra,Natal,RN,59092-540,-35.1845051,-5.8849276
Rua Tenente Petronilo Diogo Silva,,Bom Pastor,Natal,RN,59060-110,-35.2436964,-5.813720699999999
Vila Tenente Roque,,Alecrim,Natal,RN,59037-230,-35.2166298,-5.8019852
2ª Travessa Tenente Souza,,Pajuçara,Natal,RN,59125-332,-35.242,-5.732733199999999
8ª Travessa Tenente Souza,,Pajuçara,Natal,RN,59125-338,-35.242,-5.732733199999999
Rua Tenente Souza,99998,Pajuçara,Natal,RN,59125-330,-35.2397813,-5.727719599999999
Rua Tenente Souza,1,Lagoa Azul,Natal,RN,59134-080,-35.2436051,-5.7361095
Rua Tenente Sá Barreto,,Alecrim,Natal,RN,59037-070,-35.2252178,-5.7968486
