cep,longitude,latitude
59050-081,-35.239519907738796,-5.805849957189452
59042-550,-35.25344225223833,-5.860821979337064
59114-278,-35.265663009451586,-5.746898227361772
59080-490,-35.20826192218602,-5.8597157554897095
59080-520,-35.20725120880207,-5.8597010237623355
59080-522,-35.20725120880207,-5.8597010237623355
59080-500,-35.207818238158936,-5.859359048641242
59080-505,-35.20769994017094,-5.859504950167378
59080-510,-35.207524479975945,-5.859453664776461
59091-080,-35.19817448551039,-5.8771452473872685
59073-134,-35.25275755260537,-5.8545362212026335
59090-200,-35.168714912221176,-5.883659960647888
59020-065,-35.1972699608641,-5.788639982132537
59020-100,-35.19830001294534,-5.791420007958736
59020-265,-35.1992100361731,-5.793910019935068
59020-105,-35.20187671912699,-5.800890231643852
59115-532,-35.28228995170551,-5.7481399670933095
59030-210,-35.20865663223454,-5.79339974686895
59037-160,-35.20930999999996,-5.7911099999999465
59037-165,-35.20930999999996,-5.7911099999999465
59074-752,-35.268729868603174,-5.830783673990651
59138-660,-35.25931376162783,-5.7293512233055495
59054-660,-35.215524907789906,-5.812644956546202
59040-090,-35.22009703028052,-5.794698588387258
59122-263,-35.223313559117706,-5.746175986030593
59074-864,-35.263434902421864,-5.849009969201411
59073-270,-35.25977021781567,-5.8562581410705805
59108-370,-35.26468992478433,-5.763829946873635
59125-413,-35.242094954122834,-5.744734965611593
59066-030,-35.216649575652816,-5.848093630630528
59069-410,-35.24263999999994,-5.852799999999945
59084-020,-35.20046009704645,-5.867240134866892
59138-602,-35.26035146359857,-5.728472794693823
59052-211,-35.23126125367796,-5.8109716977493076
59052-212,-35.23116162015482,-5.81102859710944
59052-213,-35.23125869101172,-5.810967210397153
59115-420,-35.26316276377602,-5.751842819230294
59080-580,-35.206932604706545,-5.8561491872129725
59129-304,-35.25932522277175,-5.740305302033444
59065-480,-35.22068992034565,-5.836834961472468
59114-165,-35.264859909780725,-5.74998995789792
59073-088,-35.252869999999966,-5.851879999999938
59014-140,-35.19429991729292,-5.786359957785512
59133-065,-35.236819999999966,-5.736699999999927
59067-450,-35.226659930882356,-5.8735649431466905
59073-187,-35.252869999999966,-5.851879999999938
59072-675,-35.24234999999993,-5.834539999999947
59020-330,-35.20253262265414,-5.798395832288238
59020-335,-35.205256163357205,-5.79699240710868
59022-185,-35.20568242820853,-5.809670032689094
59022-300,-35.208969046869704,-5.808461520630805
59054-710,-35.21115931329133,-5.811589000455832
59082-300,-35.18852672982296,-5.866453533105267
59122-343,-35.22686024044667,-5.740996828787697
59108-530,-35.258369080615424,-5.762333137600407
59037-680,-35.258369080615424,-5.762333137600407
59014-600,-35.198129944129896,-5.795124976800345
59014-602,-35.200729999999965,-5.8005699999999365
59104-245,-35.26290491468407,-5.768879959717808
59082-030,-35.202787899877904,-5.855819692609306
59072-442,-35.251119999999965,-5.829109999999957
59065-280,-35.21670491211893,-5.835149968431871
59054-410,-35.22089507880971,-5.812081694463662
59082-200,-35.1917681103209,-5.8663022505664815
59114-236,-35.27444490942845,-5.743329949091809
59054-780,-35.21461991370404,-5.8159349583163555
59139-534,-35.27010488569276,-5.722344953437491
59114-272,-35.28711999999996,-5.727389999999957
